Month,BALENCE
01-Jan,1000
02-Jan,1250
03-Jan,1250
04-Jan,1250
05-Jan,1300
06-Jan,1200
07-Jan,1200
08-Jan,1200
09-Jan,1200
10-Jan,1200
11-Jan,1700
12-Jan,1700
13-Jan,1670
14-Jan,1670
15-Jan,1670
16-Jan,1670
17-Jan,1670
18-Jan,1670
19-Jan,1670
20-Jan,1670
21-Jan,1800
22-Jan,1800
23-Jan,1800
24-Jan,1800
25-Jan,1800
26-Jan,1800
27-Jan,1800
28-Jan,1800
29-Jan,1800
30-Jan,1800
31-Jan,1800
01-Feb,1800
02-Feb,1800
03-Feb,1800
04-Feb,2400
05-Feb,2400
06-Feb,2400
07-Feb,2400
08-Feb,2400
09-Feb,2400
10-Feb,2400
11-Feb,2400
12-Feb,2400
13-Feb,2400
14-Feb,2400
15-Feb,2400
16-Feb,2400
17-Feb,2400
18-Feb,2400
19-Feb,2400
20-Feb,2400
21-Feb,2400
22-Feb,2400
23-Feb,2400
24-Feb,2400
25-Feb,2400
26-Feb,2400
27-Feb,2400
28-Feb,2400
01-Mar,2400
02-Mar,2400
03-Mar,2400
04-Mar,2400
05-Mar,2400
06-Mar,2500
07-Mar,2500
08-Mar,2500
13-Mar,3000
13-Mar,2750
13-Mar,2800
13-Mar,3000
14-Mar,2750
14-Mar,2500
14-Mar,3000
14-Mar,2750
14-Mar,3300
14-Mar,3000
